,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b12_32,CCARD,MARCAP Local,URO Onco,,,,PROCTO,VASC LOCAL,ORL,ORT Tumor,,,VASC,,
b21_33,CCARD,ORT TRAUMA,,URO Func,ORL,ORT INF,ORT TRAUMA,,GAST EED,PLAST,NEURO,URO Andro,,,
b22_34,CCARD,ORT Mão,,,,PLAST,ORT TRAUMA,GAST EED,ORL,,NEURO,,,,
b31_35,CCARD,C TORAX,PLAST,ORT TRAUMA,PLAST,ORL,,C PED,CAB PESC,EDA Infantil,NEURO,VASC LOCAL,VASC,EDA ADULTO,
b32_36,CCARD,PLAST,,C PED,,GAST   GDP/VB,,C TORAX,,GAST  OBES,NEURO,URO Infantil,VASC,,
b41_37,CCARD,EDA Infantil,ORL,GAST   GDP/VB,ORL,GAST  OBES,,VASC,,GAST FIG,NEURO,NEURO COLU,EEF  Local,EDA ADULTO,Oftalmo
b42_38,CCARD,MARCAP Local,Oftalmo,VASC,ORL,GAST  OBES,URO litiase,GAST FIG,ORL,GAST   GDP/VB,NEURO,NEURO COLU,MARCAP,,
b51_39,CCARD,PLAST,URO GINECO,C PED,,C TORAX,,PROCTO,CAB PESC,,NEURO,PROCTO,,,
b52_40,,PROCTO,PLAST,,,,,C TORAX,,CAB PESC,,PROCTO,,,
b11_41,CCARD,Anestesia Dor,,,VASC LOCAL,C PED,URO Onco,ORT Tumor,ORL,ORT JOELHO,NEURO,PROCTO,,EDA ADULTO,
b12_42,CCARD,ORT COLUNA,URO Onco,MARCAP Local,,,PROCTO,ORT Tumor,,,NEURO,VASC LOCAL,VASC,,
b21_43,CCARD,URO Func,,ORT Pé,PLAST,GAST EED,ORL,ORT TRAUMA,GAST EED,ORT INF,NEURO,ORT TRAUMA,,,
