,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b42_18,CCARD,MARCAP Local,ORL,GAST  OBES,,GAST   GDP/VB,URO litiase,GAST FIG,ORL,,NEURO,NEURO COLU,VASC,,Oftalmo
b51_19,CCARD,PROCTO,Oftalmo,C TORAX,URO GINECO,CAB PESC,PROCTO,PLAST,CAB PESC,C PED,NEURO,NEURO COLU,,,
b52_20,CCARD,C TORAX,,C PED,PLAST,PROCTO,ORT TRAUMA,,CAB PESC,PROCTO,NEURO,GAST EED,,,
b11_21,CCARD,ORT Tumor,Oftalmo,C TRAUMA,EDA Infantil,GAST FIG,ORT JOELHO,C PED,ORL,VASC LOCAL,NEURO,PROCTO,VASC,,
b12_22,CCARD,MARCAP Local,ORT OMBRO,VASC LOCAL,URO Onco,ORT Tumor,PROCTO,GAST   GDP/VB,ORL,GAST  OBES,NEURO,GAST FIG,VASC,,
b21_23,CCARD,ORT Pé,URO Andro,ORT TRAUMA,PLAST,GAST EED,ORT TRAUMA,GAST EED,ORL,URO TX,NEURO,URO Func,,,
b22_24,CCARD,,,GAST EED,PLAST,ORT INF,ORT TRAUMA,ORT Quadril,ORL,GAST EED,NEURO,ORT TRAUMA,,ORT Mão,
b31_25,CCARD,Oftalmo,Oftalmo,EDA Infantil,PLAST,ORL,ORT JOELHO,C PED,CAB PESC,PLAST,NEURO,VASC LOCAL,VASC,,
b32_26,CCARD,C TORAX,URO Infantil,PLAST,PLAST,C PED,ORT JOELHO,GAST   GDP/VB,ORL,ORL,NEURO,GAST  OBES,VASC,,
b41_27,CCARD,Oftalmo,EDA Infantil,GAST  OBES,EDA ADULTO,EEF  Local,ORL,GAST FIG,ORL,URO litiase,NEURO,NEURO COLU,VASC,,
b42_28,CCARD,MARCAP Local,ORL,GAST   GDP/VB,,GAST  OBES,URO litiase,GAST FIG,ORL,,NEURO,NEURO COLU,VASC,,Oftalmo
b51_29,CCARD,Oftalmo,URO GINECO,C PED,PLAST,PROCTO,PROCTO,CAB PESC,CAB PESC,C TORAX,NEURO,NEURO COLU,,,
b52_30,CCARD,PROCTO,PLAST,C TORAX,,C PED,ORT TRAUMA,PROCTO,CAB PESC,,NEURO,GAST EED,,,
b11_31,CCARD,Oftalmo,ORT JOELHO,C PED,URO Onco,ORT Tumor,PROCTO,EDA Infantil,ORL,C TRAUMA,NEURO,VASC LOCAL,VASC,,
b12_32,CCARD,MARCAP Local,URO Onco,GAST FIG,VASC LOCAL,ORT Tumor,PROCTO,ORT COLUNA,ORL,GAST   GDP/VB,NEURO,GAST  OBES,VASC,,
b21_33,CCARD,ORT Mão,URO Andro,ORT TRAUMA,ORL,GAST EED,ORT TRAUMA,PLAST,GAST EED,ORT Pé,NEURO,URO Func,,,
b22_34,CCARD,ORT INF,PLAST,,,GAST EED,ORT TRAUMA,,ORL,GAST EED,NEURO,ORT TRAUMA,,ORT Mão,
b31_35,CCARD,Oftalmo,PLAST,ORT TRAUMA,EDA Infantil,C PED,PLAST,ORT JOELHO,ORL,C TORAX,NEURO,VASC LOCAL,VASC,,
b32_36,CCARD,GAST  OBES,ORL,GAST   GDP/VB,ORT JOELHO,PLAST,PLAST,C PED,ORL,C TORAX,NEURO,URO Infantil,VASC,,
b41_37,CCARD,Oftalmo,EDA Infantil,GAST FIG,ORL,EEF,URO litiase,NEURO COLU,ORL,TMO,NEURO,GAST  OBES,VASC,,
b42_38,CCARD,NEURO COLU,URO litiase,MARCAP Local,,,ORL,GAST FIG,ORL,GAST   GDP/VB,NEURO,GAST  OBES,VASC,,Oftalmo
b51_39,CCARD,Oftalmo,URO GINECO,CAB PESC,PLAST,PROCTO,PROCTO,C PED,CAB PESC,C TORAX,NEURO,NEURO COLU,,,
b52_40,CCARD,CAB PESC,PLAST,PROCTO,,PROCTO,ORT TRAUMA,C PED,,C TORAX,NEURO,GAST EED,,,
b11_41,CCARD,Oftalmo,ORT JOELHO,VASC LOCAL,URO Onco,C PED,PROCTO,Anestesia Dor,ORL,ORT Tumor,NEURO,PROCTO,VASC,,
b12_42,CCARD,ORT COLUNA,URO Onco,MARCAP Local,VASC LOCAL,GAST  OBES,PROCTO,GAST   GDP/VB,ORL,ORT Tumor,NEURO,GAST FIG,VASC,,
b21_43,CCARD,ORT Mão,URO Andro,GAST EED,PLAST,GAST EED,ORT TRAUMA,ORT TRAUMA,ORL,ORT Pé,NEURO,URO Func,,,
b22_44,CCARD,ORT Quadril,,PLAST,,GAST EED,ORT TRAUMA,ORT INF,ORL,GAST EED,NEURO,ORT TRAUMA,,ORT Mão,
