,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b12_32,CCARD,ORT COLUNA,URO Onco,,,GAST   GDP/VB,PROCTO,MARCAP Local,,,NEURO,VASC LOCAL,,,
b21_33,CCARD,URO Andro,,,URO Func,GAST EED,ORL,ORT Pé,GAST EED,ORT INF,,ORT TRAUMA,,ORT Mão,
b22_34,CCARD,GAST EED,,,,GAST EED,ORL,,,ORT INF,NEURO,ORT TRAUMA,,,
b31_35,CCARD,C PED,EDA Infantil,PLAST,ORT JOELHO,Oftalmo,ORL,CAB PESC,,VASC LOCAL,NEURO,ORT TRAUMA,VASC,Oftalmo,
b32_36,CCARD,GAST  OBES,ORL,,,PLAST,ORT JOELHO,C PED,ORL,C TORAX,,,VASC,,
b41_37,,NEURO COLU,ORL,TMO,EDA ADULTO,,VASC,URO litiase,ORL,GAST   GDP/VB,NEURO,GAST FIG,EEF  Local,EDA Infantil,Oftalmo
b42_38,CCARD,NEURO COLU,Oftalmo,MARCAP Local,VASC,GAST   GDP/VB,ORL,GAST  OBES,ORL,URO litiase,NEURO,GAST FIG,MARCAP,,
b51_39,CCARD,NEURO,,C PED,,CAB PESC,PROCTO,,CAB PESC,,,PROCTO,,ORT Mão,Oftalmo
b52_40,,,,,PLAST,,ORT TRAUMA,,CAB PESC,ORT Quadril,,PROCTO,,,
b11_41,,C TRAUMA,,GAST FIG,URO Onco,C PED,ORT JOELHO,Anestesia Dor,ORL,VASC LOCAL,,PROCTO,VASC,,Oftalmo
b12_42,,,ORT OMBRO,GAST   GDP/VB,VASC LOCAL,ORT COLUNA,PROCTO,,ORL,MARCAP Local,NEURO,GAST  OBES,,,
b21_43,CCARD,PLAST,URO Func,GAST EED,ORL,,,ORT Pé,GAST EED,ORT INF,NEURO,ORT TRAUMA,,ORT Mão,
