,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b22_34,CCARD,,ORL,ORT TRAUMA,,,PLAST,NEURO,GAST EED,,,GAST EED,,,
b31_35,CCARD,NEURO,PLAST,CAB PESC,VASC,C TORAX,PLAST,C PED,ORL,VASC LOCAL,,EDA ADULTO,,EDA Infantil,Oftalmo
b32_36,,GAST  OBES,ORL,URO Infantil,,C PED,VASC,C TORAX,PLAST,NEURO,,GAST   GDP/VB,,,
b41_37,CCARD,NEURO,EDA ADULTO,GAST  OBES,VASC,TMO,ORL,EEF  Local,ORL,GAST   GDP/VB,NEURO COLU,GAST FIG,,,Oftalmo
b42_38,CCARD,NEURO,,GAST   GDP/VB,ORL,MARCAP Local,VASC,GAST  OBES,ORL,GAST FIG,NEURO COLU,URO litiase,MARCAP,Oftalmo,
b51_39,CCARD,NEURO,,CAB PESC,,CAB PESC,URO GINECO,C PED,,C TORAX,NEURO COLU,PROCTO,,,
b52_40,CCARD,NEURO,,,,,,C TORAX,,CAB PESC,,PROCTO,,,
b11_41,CCARD,NEURO,URO Onco,VASC LOCAL,ORT JOELHO,C TRAUMA,VASC,Anestesia Dor,ORL,ORT Tumor,,,,EDA Infantil,
b12_42,CCARD,MARCAP Local,,GAST FIG,,VASC LOCAL,VASC,NEURO,ORL,ORT Tumor,,URO Onco,,,
b21_43,CCARD,URO Func,URO TX,ORT TRAUMA,PLAST (*),ORT Pé,ORL,NEURO,PLAST,URO Andro,,GAST EED,,,
b22_44,CCARD,ORT TRAUMA,ORL,ORT Quadril,,ORT TRAUMA,,NEURO,,,,GAST EED,,,
